Tipo_identificacao	email_usuario	nome_usuario	celular_numero	Tipo_reclamao	Local_reclamacao	Descricao_reclamacao	Denuncia_realizada_para	Status_reclamacao	Data_Criacao	Data_Resposta	Reclamacao_Origem	Violou_codigo_de_etica?	foi_apurado?	teve_veracidade?	Reclamação_procede?
identificado	teste12@teste.com	Catarina	(11) 11111-1129	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 11:22	11/30/2022  11:07	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Cauã	(11) 11111-1130	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 11:26	11/30/2022  11:07	integracao	N	N	N	Improcedente
identificado	teste@teste.com	Cecília	(11) 11111-1131	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 11:30	11/30/2022  11:07	integracao	N	N	N	Improcedente
identificado	teste1@teste.com	Clara	(11) 11111-1132	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 11:36	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Daniel	(11) 11111-1133	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 15:30	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Davi	(11) 11111-1134	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 15:41	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste@teste.com	Davi Lucas	(11) 11111-1135	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 15:48	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Davi Luiz	(11) 11111-1136	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 15:53	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Eduardo	(11) 11111-1137	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 15:56	11/02/2022 11:36	integracao	N	N	N	Improcedente
identificado	teste123@teste.com	Emanuel	(11) 11111-1138	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:00	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste@teste.com	Emanuelly	(11) 11111-1139	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:04	11/02/2022 11:36	integracao	N	N	N	Improcedente
identificado	teste1@teste.com	Enzo	(11) 11111-1140	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:28	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Enzo Gabriel	(11) 11111-1141	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:31	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Esther	(11) 11111-1142	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:43	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste@teste.com	Felipe	(11) 11111-1143	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:46	11/02/2022 11:36	integracao	N	N	S	Procedente
anonima	teste1@teste.com	Fernanda	(11) 11111-1144	Assédio Moral	Campo Grande/MS	Sofri um assédio moral do meu superior		Apuração em Andamento	11/01/2022 16:46		integracao	N	N	N	Procedente
identificado	teste12@teste.com	Francisco	(11) 11111-1145	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:48	11/02/2022 11:36	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Gabriel	(11) 11111-1146	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:50	11/02/2022 11:36	integracao	N	N	N	Improcedente
anonima	teste@teste.com	Gabriela	(11) 11111-1147	Discriminação	Campo Grande/MS	Hoje venho através deste fazer um relatório sobre as agressões que sofri		Apuração em Andamento	11/01/2022 16:52		integracao	N	N	N	Procedente
identificado	teste1@teste.com	Gabrielly	(11) 11111-1148	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/01/2022 16:55	11/02/2022 11:36	integracao	N	N	S	Procedente
anonima	teste12@teste.com	Giovanna	(11) 11111-1149	Assédio Moral	Campo Grande/MS	Sofri um assédio moral do meu superior	GESTORA	Apuração em Andamento	11/01/2022 17:03		integracao	N	N	N	Procedente
anonima	teste123@teste.com	Guilherme	(11) 11111-1150	Assédio Moral	Campo Grande/MS	Sofri um assédio moral do meu superior	Assédio	Apuração em Andamento	11/01/2022 17:12		integracao	N	N	N	Procedente
anonima	teste@teste.com	Gustavo	(11) 11111-1151	Postura Inadequada - Intimidação ou Ofensa	Porto Alegre/RS	Gostaria de relatar uma postura inadequada do um superior/colega		Apuração em Andamento	11/03/2022 21:39		integracao	N	N	N	Procedente
anonima	teste1@teste.com	Heitor	(11) 11111-1152	Assédio Moral	Campo Grande/MS	Sofri um assédio moral do meu superior		Apuração não iniciada	11/04/2022 14:07		integracao	N	N	N	Procedente
anonima	teste12@teste.com	Helena	(11) 11111-1153	Postura Inadequada - Intimidação ou Ofensa	Porto Alegre/RS	Gostaria de relatar uma postura inadequada do um superior/colega		Apuração em Andamento	11/06/2022 17:29		integracao	N	N	N	Procedente
identificado	teste123@teste.com	Heloísa	(11) 11111-1154	Assédio Moral	Porto Alegre/RS	Sofri um assédio moral do meu superior	Supervisor	Apuração em Andamento	11/06/2022 23:48		integracao	N	N	N	Procedente
identificado	teste@teste.com	Henrique	(11) 11111-1155	Não Conformidade (Procedimentos Internos)	Campo Grande/MS	Foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/07/2022 16:04	11/08/2022 11:36	integracao	N	N	S	Procedente
anonima	teste1@teste.com	Ian	(11) 11111-1156	Assédio Moral	Porto Alegre/RS	Sofri um assédio moral do meu superior		Apuração em Andamento	11/08/2022 11:58		integracao	N	N	N	Procedente
anonima	teste12@teste.com	Isaac	(11) 11111-1157	Não Conformidade (Procedimentos Internos)	Porto Alegre/RS	Foi identificado uma não conformidade		Apuração Concluída	11/08/2022 12:14	11/09/2022 12:14	integracao	N	N	N	Improcedente
anonima	teste123@teste.com	Isabella	(11) 11111-1158	Postura Inadequada - Intimidação ou Ofensa	Porto Alegre/RS	Gostaria de relatar uma postura inadequada do um superior/colega		Apuração em Andamento	11/10/2022 09:19		integracao	N	N	N	Procedente
identificado	teste@teste.com	Isabelly	(11) 11111-1159	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/29/2022 11:28	11/30/2022 10:27	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Isadora	(11) 11111-1160	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 10:27	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste12@teste.com	João	(11) 11111-1161	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 10:45	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste123@teste.com	João Gabriel	(11) 11111-1162	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 10:48	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste@teste.com	João Miguel	(11) 11111-1163	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 11:35	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste1@teste.com	João Pedro	(11) 11111-1164	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 11:43	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste12@teste.com	João Vitor	(11) 11111-1165	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 11:51	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Joaquim	(11) 11111-1166	Não Conformidade (Procedimentos Internos)	Aracaju/SE	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 11:56	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste@teste.com	Julia	(11) 11111-1167	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 14:21	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Lara	(11) 11111-1168	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 14:27	12/05/2022 08:26	integracao	N	N	N	Improcedente
identificado	teste12@teste.com	Larissa	(11) 11111-1169	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 14:31	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Laura	(11) 11111-1170	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Supervisor	Apuração Concluída	11/30/2022 14:37	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste@teste.com	Lavínia	(11) 11111-1171	Não Conformidade (Procedimentos Internos)	Aracaju/SE	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	11/30/2022 14:46	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Leonardo	(11) 11111-1172	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	11/30/2022 15:14	12/05/2022 08:26	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Letícia	(11) 11111-1173	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 08:26	12/09/2022 08:26	integracao	N	N	N	Improcedente
identificado	teste123@teste.com	Lívia	(11) 11111-1174	Não Conformidade (Procedimentos Internos)	Aracaju/SE	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 08:30	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste@teste.com	Lorena	(11) 11111-1175	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 08:34	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Lorenzo	(11) 11111-1176	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 09:07	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Lucas	(11) 11111-1177	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 09:17	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Lucca	(11) 11111-1178	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 09:21	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste@teste.com	Luiza	(11) 11111-1179	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 12:09	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Manuela	(11) 11111-1180	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 12:31	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Maria Clara	(11) 11111-1181	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 12:41	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Maria Eduarda	(11) 11111-1182	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 15:37	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste@teste.com	Maria Fernanda	(11) 11111-1183	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 15:43	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Maria Luiza	(11) 11111-1184	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/05/2022 15:48	12/09/2022 08:26	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Mariana	(11) 11111-1185	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:05	12/08/2022 09:05	integracao	N	N	N	Improcedente
identificado	teste123@teste.com	Marina	(11) 11111-1186	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:08	12/08/2022 09:05	integracao	N	N	N	Improcedente
identificado	teste@teste.com	Matheus	(11) 11111-1187	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:09	12/08/2022 09:05	integracao	N	N	N	Improcedente
identificado	teste1@teste.com	Melissa	(11) 11111-1188	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:12	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Miguel	(11) 11111-1189	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:16	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Murilo	(11) 11111-1190	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:19	12/08/2022 09:05	integracao	N	N	N	Improcedente
identificado	teste@teste.com	Nicolas	(11) 11111-1191	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:20	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Nicole	(11) 11111-1192	Não Conformidade (Procedimentos Internos)	Aracaju/SE	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:23	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Otávio	(11) 11111-1193	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:27	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Pedro	(11) 11111-1194	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:27	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste@teste.com	Pedro Henrique	(11) 11111-1195	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:33	12/08/2022 09:05	integracao	N	N	N	Improcedente
identificado	teste1@teste.com	Pietro	(11) 11111-1196	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:40	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste12@teste.com	Rafael	(11) 11111-1197	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:51	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste123@teste.com	Rafaela	(11) 11111-1198	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 09:59	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste@teste.com	Rebeca	(11) 11111-1199	Não Conformidade (Procedimentos Internos)	Matriz/SP	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	12/06/2022 10:07	12/08/2022 09:05	integracao	N	N	S	Procedente
identificado	teste1@teste.com	Rodrigo	(11) 11111-1200	Não Conformidade (Procedimentos Internos)	Campo Grande/MS	Infração: foi identificado uma não conformidade	Gestor	Apuração Concluída	1/16/2023 12:38	1/16/2023 18:38	integracao	N	N	N	Improcedente
anonima	teste12@teste.com	Samuel	(11) 11111-1201	Importunação Sexual	Campo Grande/MS	Me importunaram sexualmente		Apuração não iniciada	1/17/2023 15:31		integracao	S	N	N	Procedente
anonima	teste123@teste.com	Sarah	(11) 11111-1202	Postura Inadequada - Intimidação ou Ofensa	Campo Grande/MS	Gostaria de relatar uma postura inadequada do um superior/colega		Apuração não iniciada	1/17/2023 15:49		integracao	S	N	N	Procedente
identificado	teste@teste.com	Sophia	(11) 11111-1203	Assédio Moral	Matriz/SP	Sofri um assédio moral do meu superior	Gestor	Apuração não iniciada	1/18/2023 15:50		integracao	N	N	N	Procedente
identificado	teste1@teste.com	Theo	(11) 11111-1204	Assédio Sexual	Campinas/SP	Me importunaram sexualmente	Gestor	Apuração em Andamento	1/26/2023 17:57		integracao	S	N	N	Procedente
anonima	teste12@teste.com	Thiago	(11) 11111-1205	Assédio Sexual	Campinas/SP	Me importunaram sexualmente		Apuração em Andamento	02/01/2023 13:33		integracao	S	N	N	Procedente
anonima	teste123@teste.com	Valentina	(11) 11111-1206	Assédio Sexual	São Paulo/SP	Me importunaram sexualmente		Apuração em Andamento	02/06/2023 14:32		local	N	N	N	Procedente
anonima	teste@teste.com	Vinicius	(11) 11111-1207	Assédio Sexual	São Paulo/SP	Me importunaram sexualmente		Apuração Concluída	02/06/2023 14:42	02/06/2023 19:42	local	N	S	S	Procedente
anonima	teste1@teste.com	Vitor	(11) 11111-1208	Assédio Sexual	Campinas/SP	Me importunaram sexualmente		Apuração em Andamento	02/08/2023 08:09		integracao	S	N	N	Procedente
anonima	teste12@teste.com	Vitória	(11) 11111-1209	Assédio Moral	Campo Grande/MS	Sofri um assédio moral do meu superior		Apuração em Andamento	02/09/2023 20:48		integracao	S	N	N	Procedente
identificado	teste123@teste.com	Yasmin	(11) 11111-1210	Não Conformidade (Procedimentos Internos)	Matriz/SP	Foi identificado uma não conformidade	Gestor	Apuração em Andamento	2/16/2023 15:26		integracao	S	N	N	Procedente
identificado	teste@teste.com	Eric	(11) 11111-1211	Não Conformidade (Procedimentos Internos)	Matriz/SP	Foi identificado uma não conformidade	Gestor	Apuração em Andamento	2/17/2023 8:33		integracao	S	N	N	Procedente
identificado	teste1@teste.com	Andre	(11) 11111-1212	Não Conformidade (Procedimentos Internos)	Matriz/SP	Foi identificado uma não conformidade	Gestor	Apuração não iniciada	03/01/2023 14:24		integracao	N	N	N	Procedente
